"","price.open","price.high","price.low","price.close","volume","price.adjusted","ref.date","ticker","ret.adjusted.prices","ret.closing.prices"
"72",69.519997,69.989998,69.010002,69.919998,3805400,19.060116,2018-04-16,"AABA",0.009092150835593,0.00909217767221571
"73",70.290001,71.489998,70.169998,71.089996,14357700,19.379057,2018-04-17,"AABA",0.0167334238679344,0.0167333814855086
"74",71.360001,72.5,70.830002,72.32,7508200,19.714354,2018-04-18,"AABA",0.0173020286797236,0.0173020687749088
"75",72.300003,72.599998,71.489998,72.019997,8610300,19.632574,2018-04-19,"AABA",-0.00414824650100121,-0.00414827157079634
"76",71.57,72.139999,70.589996,71.059998,6119600,19.370878,2018-04-20,"AABA",-0.0133296836166261,-0.0133296173283652
"77",71.139999,71.190002,69.68,69.889999,19183900,19.051939,2018-04-23,"AABA",-0.016464870616603,-0.0164649455802123
"78",70.550003,70.75,68.459999,69.260002,3180700,18.880201,2018-04-24,"AABA",-0.00901420060183911,-0.00901412232099197
"79",68.849998,68.849998,67.089996,68.269997,4180600,18.610327,2018-04-25,"AABA",-0.014294021551995,-0.014294036549407
"80",68.900002,69.879997,68.830002,69.800003,4392400,19.027405,2018-04-26,"AABA",0.022411105404005,0.0224111039583026
"81",70.889999,71.089996,69.519997,69.730003,10648200,19.008324,2018-04-27,"AABA",-0.00100281672671598,-0.00100286528640992
"82",70.199997,70.800003,69.440002,70.080002,5861700,19.103733,2018-04-30,"AABA",0.005019327322072,0.00501934583309849
"83",69.449997,70.300003,69.339996,69.889999,8600100,19.051939,2018-05-01,"AABA",-0.00271119785855456,-0.00271122994545558
"84",70.120003,71.389999,70.029999,70.209999,6565600,19.13917,2018-05-02,"AABA",0.00457858908744146,0.00457862361680661
"85",70.5,70.650002,68.080002,70.379997,8114600,19.185511,2018-05-03,"AABA",0.00242126487198768,0.00242127905456901
"86",70.019997,73.080002,69.580002,72.709999,8716100,19.820667,2018-05-04,"AABA",0.0331060246453689,0.0331060258499301
"87",73.25,75.970001,73.25,75.330002,5728700,20.534878,2018-05-07,"AABA",0.0360336511379762,0.0360335997253967
"88",75.209999,76.389999,75.040001,76.040001,6910000,20.728422,2018-05-08,"AABA",0.00942513512863341,0.00942518227996336
"89",76.120003,76.809998,75.800003,75.93,4059400,20.698437,2018-05-09,"AABA",-0.00144656452864578,-0.00144662018087027
"90",76.190002,77.480003,75.730003,75.900002,6020800,20.690258,2018-05-10,"AABA",-0.000395150609681205,-0.000395074410641461
